I, [2020-02-19T10:52:51.023742 #9928]  INFO -- Kitchen: -----> Starting Kitchen (v1.20.0)
E, [2020-02-19T10:52:51.024018 #9928] ERROR -- Kitchen: ------Exception-------
E, [2020-02-19T10:52:51.024049 #9928] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2020-02-19T10:52:51.024066 #9928] ERROR -- Kitchen: Message: Kitchen YAML file /home/centos/curso-ansible-devops-diciembre/roles/apache/tasks/.kitchen.yml does not exist.
E, [2020-02-19T10:52:51.024080 #9928] ERROR -- Kitchen: ----------------------
E, [2020-02-19T10:52:51.024092 #9928] ERROR -- Kitchen: ------Backtrace-------
E, [2020-02-19T10:52:51.024104 #9928] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/loader/yaml.rb:65:in `read'
E, [2020-02-19T10:52:51.024117 #9928] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/config.rb:152:in `data'
E, [2020-02-19T10:52:51.024129 #9928] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/config.rb:131:in `suites'
E, [2020-02-19T10:52:51.024142 #9928] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/config.rb:182:in `filter_instances'
E, [2020-02-19T10:52:51.024154 #9928] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/config.rb:141:in `build_instances'
E, [2020-02-19T10:52:51.024166 #9928] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/config.rb:117:in `instances'
E, [2020-02-19T10:52:51.024194 #9928] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/command.rb:112:in `filtered_instances'
E, [2020-02-19T10:52:51.024207 #9928] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/command.rb:142:in `parse_subcommand'
E, [2020-02-19T10:52:51.024257 #9928] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/command/action.rb:35:in `block in call'
E, [2020-02-19T10:52:51.024272 #9928] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/2.4.0/benchmark.rb:293:in `measure'
E, [2020-02-19T10:52:51.024284 #9928] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/command/action.rb:34:in `call'
E, [2020-02-19T10:52:51.024297 #9928] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/cli.rb:52:in `perform'
E, [2020-02-19T10:52:51.024309 #9928] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/cli.rb:193:in `block (2 levels) in <class:CLI>'
E, [2020-02-19T10:52:51.024321 #9928] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/thor-0.19.1/lib/thor/command.rb:27:in `run'
E, [2020-02-19T10:52:51.024333 #9928] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/thor-0.19.1/lib/thor/invocation.rb:126:in `invoke_command'
E, [2020-02-19T10:52:51.024345 #9928] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/thor-0.19.1/lib/thor.rb:359:in `dispatch'
E, [2020-02-19T10:52:51.024359 #9928] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/thor-0.19.1/lib/thor/base.rb:440:in `start'
E, [2020-02-19T10:52:51.024384 #9928] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/bin/kitchen:13:in `block in <top (required)>'
E, [2020-02-19T10:52:51.024398 #9928] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/errors.rb:171:in `with_friendly_errors'
E, [2020-02-19T10:52:51.024414 #9928] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/bin/kitchen:13:in `<top (required)>'
E, [2020-02-19T10:52:51.024427 #9928] ERROR -- Kitchen: /bin/kitchen:250:in `load'
E, [2020-02-19T10:52:51.024439 #9928] ERROR -- Kitchen: /bin/kitchen:250:in `<main>'
E, [2020-02-19T10:52:51.024450 #9928] ERROR -- Kitchen: ----End Backtrace-----
